fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost, cost per cc, N
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,555.59341,19.0932505,1
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,551.99126,18.9694608,1.009
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,548.4528,18.84785992,1.018
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,544.97637,18.72839031,1.027
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,541.56033,18.61099643,1.036
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,538.20313,18.49562464,1.045
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,534.90327,18.38222315,1.054
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,531.65928,18.27074191,1.063
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,528.46976,18.16113256,1.072
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,525.33336,18.05334833,1.081
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,522.24874,17.94734404,1.09
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,519.21465,17.84307593,1.099
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,516.22985,17.74050172,1.108
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,513.29315,17.63958044,1.117
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,510.40339,17.54027247,1.126
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,507.55946,17.44253943,1.135
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,504.76028,17.34634415,1.144
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,502.0048,17.25165061,1.153
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,499.292,17.15842393,1.162
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,496.6209,17.06663028,1.171
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,493.99055,16.97623687,1.18
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,491.40002,16.88721191,1.189
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,488.84841,16.79952455,1.198
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,486.33485,16.71314487,1.207
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,483.8585,16.62804384,1.216
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,481.41854,16.54419327,1.225
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,479.01417,16.46156581,1.234
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,476.64461,16.38013488,1.243
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,474.30913,16.29987469,1.252
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,472.00698,16.22076016,1.261
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,469.73746,16.14276694,1.27
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,467.49988,16.06587135,1.279
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,465.29357,15.9900504,1.288
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,463.11788,15.9152817,1.297
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,460.97217,15.8415435,1.306
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,458.85584,15.76881465,1.315
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,456.76828,15.69707456,1.324
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,454.70891,15.6263032,1.333
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,452.67716,15.55648108,1.342
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,450.67248,15.48758924,1.351
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,448.69433,15.4196092,1.36
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,446.74219,15.35252299,1.369
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,444.81556,15.28631308,1.378
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,442.91392,15.22096241,1.387
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,441.0368,15.15645438,1.396
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,439.18374,15.09277279,1.405
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,437.35426,15.02990185,1.414
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,435.54792,14.96782619,1.423
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,433.76429,14.90653081,1.432
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,432.00294,14.84600109,1.441
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,430.26346,14.78622277,1.45
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,428.54543,14.72718196,1.459
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,426.84847,14.66886507,1.468
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,425.17219,14.61125889,1.477
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,423.51622,14.55435049,1.486
1,m400,12709,29.09894317,1,1,10.84035,1.22E+06,421.88018,14.49812727,1.495
