fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost, cost per cc, N
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,276.13932,9.489668313,1
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,274.54597,9.434911929,1.009
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,272.98079,9.381123732,1.018
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,271.44304,9.328278269,1.027
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,269.93201,9.276350971,1.036
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,268.44701,9.225318114,1.045
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,266.98737,9.175156786,1.054
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,265.55244,9.12584485,1.063
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,264.14161,9.077360913,1.072
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,262.75427,9.029684295,1.081
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,261.38984,8.982794996,1.09
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,260.04776,8.936673675,1.099
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,258.72748,8.891301618,1.108
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,257.42848,8.846660712,1.117
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,256.15024,8.802733427,1.126
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,254.89227,8.759502786,1.135
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,253.6541,8.716952347,1.144
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,252.43526,8.675066183,1.153
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,251.2353,8.633828857,1.162
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,250.05378,8.59322541,1.171
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,248.89028,8.553241338,1.18
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,247.7444,8.513862575,1.189
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,246.61574,8.47507548,1.198
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,245.50391,8.436866817,1.207
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,244.40853,8.399223743,1.216
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,243.32926,8.362133792,1.225
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,242.26572,8.325584861,1.234
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,241.21759,8.289565198,1.243
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,240.18452,8.25406339,1.252
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,239.1662,8.219068349,1.261
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,238.16232,8.1845693,1.27
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,237.17256,8.150555774,1.279
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,236.19663,8.117017591,1.288
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,235.23425,8.083944858,1.297
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,234.28513,8.051327951,1.306
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,233.34901,8.019157511,1.315
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,232.42561,7.987424434,1.324
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,231.51468,7.95611986,1.333
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,230.61597,7.925235169,1.342
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,229.72923,7.894761969,1.351
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,228.85423,7.864692091,1.36
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,227.99073,7.83501758,1.369
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,227.13851,7.80573069,1.378
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,226.29736,7.776823874,1.387
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,225.46704,7.748289783,1.396
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,224.64737,7.720121253,1.405
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,223.83813,7.692311304,1.414
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,223.03913,7.664853132,1.423
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,222.25017,7.637740105,1.432
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,221.47106,7.610965755,1.441
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,220.70163,7.584523777,1.45
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,219.94169,7.558408019,1.459
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,219.19106,7.532612482,1.468
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,218.44959,7.507131311,1.477
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,217.71709,7.481958795,1.486
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,216.99342,7.45708936,1.495
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,216.27841,7.432517564,1.504
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,215.5719,7.408238096,1.513
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,214.87375,7.384245771,1.522
1,m290,AlSi10Mg,29.09894317,1,1,9.95349,685891.9581,214.1838,7.360535523,1.531
