fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost,costPerCC,N
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,372.39494,12.79754178,1.558
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,371.5528,12.76860115,1.567
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,370.72028,12.73999107,1.576
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,369.89721,12.7117059,1.585
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,369.08343,12.68374013,1.594
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,368.2788,12.65608838,1.603
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,367.48314,12.62874541,1.612
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,366.69633,12.60170605,1.621
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,365.9182,12.57496529,1.63
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,365.14862,12.54851821,1.639
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,364.38744,12.52235999,1.648
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,363.63453,12.49648593,1.657
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,362.88976,12.47089142,1.666
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,362.15299,12.44557195,1.675
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,361.4241,12.42052312,1.684
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,360.70295,12.39574061,1.693
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,359.98943,12.37122019,1.702
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,359.28342,12.34695774,1.711
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,358.5848,12.32294919,1.72
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,357.89345,12.29919058,1.729
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,357.20926,12.27567804,1.738
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,356.53212,12.25240776,1.747
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,355.86192,12.22937601,1.756
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,355.19855,12.20657914,1.765
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,354.54192,12.18401359,1.774
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,353.89191,12.16167584,1.783
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,353.24844,12.13956247,1.792
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,352.61139,12.11767011,1.801
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,351.98068,12.09599546,1.81
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,351.35622,12.07453529,1.819
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,350.7379,12.05328644,1.828
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,350.12564,12.0322458,1.837
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,349.51935,12.01141032,1.846
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,348.91894,11.99077702,1.855
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,348.32433,11.97034296,1.864
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,347.73543,11.95010528,1.873
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,347.15217,11.93006117,1.882
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,346.57446,11.91020784,1.891
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,346.00222,11.89054261,1.9
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,345.43538,11.87106279,1.909
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,344.87386,11.85176579,1.918
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,344.31758,11.83264904,1.927
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,343.76648,11.81371003,1.936
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,343.22047,11.79494629,1.945
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,342.6795,11.7763554,1.954
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,342.14348,11.75793498,1.963
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,341.61236,11.7396827,1.972
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,341.08606,11.72159627,1.981
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,340.56453,11.70367343,1.99
1,m290,12709,29.09894317,1,1,4.33345,988697.6687,340.04769,11.68591198,1.999
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,339.53548,11.66830974,2.008
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,339.02785,11.65086459,2.017
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,338.52472,11.63357443,2.026
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,338.02605,11.6164372,2.035
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,337.53176,11.59945089,2.044
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,337.04181,11.58261351,2.053
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,336.55614,11.56592311,2.062
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,336.07469,11.54937778,2.071
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,335.5974,11.53297562,2.08
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,335.12423,11.5167148,2.089
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,334.65512,11.50059348,2.098
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,334.19001,11.48460989,2.107
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,333.72886,11.46876227,2.116
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,333.27162,11.45304889,2.125
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,332.81823,11.43746804,2.134
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,332.36865,11.42201807,2.143
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,331.92284,11.40669732,2.152
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,331.48073,11.39150419,2.161
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,331.0423,11.37643708,2.17
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,330.60748,11.36149444,2.179
