fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost, cost per cc, N
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,399.21151,13.71910682,1
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,396.22902,13.61661189,1.009
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,393.29926,13.51592924,1.018
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,390.42085,13.41701124,1.027
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,387.59245,13.31981189,1.036
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,384.81277,13.22428679,1.045
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,382.08056,13.13039304,1.054
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,379.39462,13.03808922,1.063
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,376.75377,12.94733528,1.072
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,374.1569,12.8580925,1.081
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,371.60292,12.77032346,1.09
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,369.09076,12.68399194,1.099
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,366.61942,12.59906292,1.108
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,364.1879,12.5155025,1.117
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,361.79525,12.43327786,1.126
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,359.44054,12.35235722,1.135
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,357.12289,12.27270981,1.144
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,354.84141,12.1943058,1.153
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,352.59528,12.11711632,1.162
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,350.38367,12.04111336,1.171
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,348.2058,11.96626976,1.18
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,346.0609,11.8925592,1.189
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,343.94823,11.81995615,1.198
1,m400-4,AlSi10Mg,29.09894317,1,1,9.96747,845592.3812,341.86707,11.74843583,1.207
