fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost, cost per cc, N
1,m100,AlSi10Mg,29.098943168482993,1,1.0, 5.04418,4.229511686674257e6,235.08343,8.078761807526437,1.0
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,294.3712,10.116216256538202,1.009
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,292.7781,10.061468561600387,1.018
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,291.21292,10.007680417304135,1.027
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,289.67494,9.954826816055494,1.036
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,288.16345,9.902883611766166,1.045
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,286.67777,9.85182748307191,1.054
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,285.21725,9.801635898419512,1.063
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,283.78125,9.7522870829124,1.072
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,282.36916,9.703759986812432,1.081
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,280.98039,9.656034255602192,1.09
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,279.61437,9.609090201518235,1.099
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,278.27054,9.56290877647174,1.108
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,276.94836,9.51747154627828,1.117
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,275.64732,9.472760666123435,1.126
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,274.36692,9.428758857195714,1.135
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,273.10666,9.385449384422454,1.144
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,271.86607,9.342816035248427,1.153
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,270.6447,9.300843099400675,1.162
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,269.44211,9.25951534958645,1.171
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,268.25786,9.218818023074478,1.18
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,267.09154,9.178736804112727,1.189
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,265.94274,9.139257807138716,1.198
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,264.81108,9.100367560740954,1.207
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,263.69617,9.062052992332635,1.216
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,262.59763,9.024301413500922,1.225
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,261.51513,8.987100505997391,1.234
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,260.4483,8.95043830833703,1.243
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,259.3968,8.914303202975303,1.252
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,258.36032,8.878683904034283,1.261
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,257.33852,8.843569445550692,1.27
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,256.33111,8.808949170220115,1.279
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,255.33778,8.774812718613104,1.288
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,254.35823,8.741150018840269,1.297
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,253.39218,8.707951276644698,1.306
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,252.43935,8.675206965901237,1.315
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,251.49948,8.642907819503229,1.324
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,250.5723,8.611044820618472,1.333
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,249.65756,8.579609194297001,1.342
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,248.755,8.548592399414304,1.351
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,247.86439,8.517986120934465,1.36
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,246.98549,8.487782262478468,1.369
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,246.11807,8.457972939183724,1.378
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,245.26191,8.428550470841616,1.387
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,244.41679,8.39950737530048,1.396
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,243.58249,8.37083636212215,1.405
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,242.75882,8.342530326480743,1.414
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,241.94556,8.314582343292987,1.423
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,241.14252,8.28698566156988,1.432
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,240.34952,8.259733698980025,1.441
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,239.56636,8.232820036615427,1.45
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,238.79287,8.206238413951006,1.459
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,238.02885,8.179982723989555,1.468
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,237.27415,8.154047008584167,1.477
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,236.52859,8.128425453930664,1.486
1,m100,AlSi10Mg,29.098943168482993,2.0,1.0, 5.04418,4.229511686674257e6,235.79201,8.103112386222818,1.495
